secid,date,expiration,ForwardPrice
108105,20100129,20100522,1067.96761
108105,20100129,20100619,1066.546931
108105,20100129,20100630,1065.901727
108105,20100129,20100630,1065.951118
108105,20100129,20100918,1062.218365
108105,20100129,20100930,1061.602929
108105,20100129,20100930,1061.646535
108105,20100129,20101218,1058.412011
108105,20100129,20101231,1057.892673
108105,20100129,20101231,1057.926739
108105,20100129,20110618,1053.682416
108105,20100129,20111217,1052.824982
108105,20100129,20121222,1061.369083
108105,20100201,20100205,1088.964533
108105,20100201,20100220,1088.238809
108105,20100201,20100320,1086.713482
108105,20100201,20100331,1086.064986
108105,20100201,20100417,1085.20808
108105,20100201,20100522,1083.365827
108105,20100201,20100619,1081.923275
108105,20100201,20100630,1081.268126
108105,20100201,20100630,1081.318279
108105,20100201,20100918,1077.528342
108105,20100201,20100930,1076.91126
108105,20100201,20100930,1076.954947
108105,20100201,20101218,1073.730599
108105,20100201,20101231,1073.214396
108105,20100201,20101231,1073.24822
108105,20100201,20110618,1069.085235
108105,20100201,20111217,1068.340531
108105,20100201,20121222,1077.241014
108105,20100202,20100205,1103.148764
108105,20100202,20100220,1102.41375
108105,20100202,20100320,1100.868307
108105,20100202,20100331,1100.211328
108105,20100202,20100417,1099.343089
108105,20100202,20100522,1097.476486
108105,20100202,20100619,1096.01502
108105,20100202,20100630,1095.352975
108105,20100202,20100630,1095.403645
108105,20100202,20100918,1091.558752
108105,20100202,20100930,1090.933442
108105,20100202,20100930,1090.977711
108105,20100202,20101218,1087.710531
108105,20100202,20101231,1087.183706
108105,20100202,20101231,1087.218239
108105,20100202,20110618,1082.934611
108105,20100202,20111217,1082.057424
108105,20100202,20121222,1090.78959
108105,20100203,20100205,1097.166233
108105,20100203,20100220,1096.431939
108105,20100203,20100320,1094.889706
108105,20100203,20100331,1094.234699
108105,20100203,20100417,1093.36951
108105,20100203,20100522,1091.509451
108105,20100203,20100619,1090.057186
108105,20100203,20100630,1089.400764
108105,20100203,20100630,1089.450981
108105,20100203,20100918,1085.659612
108105,20100203,20100930,1085.043189
108105,20100203,20100930,1085.086809
108105,20100203,20101218,1081.877055
108105,20100203,20101231,1081.363237
108105,20100203,20101231,1081.396886
108105,20100203,20110618,1077.269842
108105,20100203,20111217,1076.566559
108105,20100203,20121222,1085.588882
108105,20100204,20100205,1063.054718
108105,20100204,20100220,1062.340176
108105,20100204,20100320,1060.837131
108105,20100204,20100331,1060.200129
108105,20100204,20100417,1059.359331
108105,20100204,20100522,1057.547168
108105,20100204,20100619,1056.126961
108105,20100204,20100630,1055.481893
108105,20100204,20100630,1055.531278
108105,20100204,20100918,1051.780896
108105,20100204,20100930,1051.162972
108105,20100204,20100930,1051.206762
108105,20100204,20101218,1047.955351
108105,20100204,20101231,1047.428185
108105,20100204,20101231,1047.462786
108105,20100204,20110618,1043.080951
108105,20100204,20111217,1041.938973
108105,20100204,20121222,1049.563094
108105,20100205,20100212,1065.800932
108105,20100205,20100220,1065.470431
108105,20100205,20100320,1063.960474
108105,20100205,20100331,1063.322269
108105,20100205,20100417,1062.481376
108105,20100205,20100522,1060.673184
108105,20100205,20100619,1059.260188
108105,20100205,20100630,1058.613178
108105,20100205,20100630,1058.662724
108105,20100205,20100918,1054.890294
108105,20100205,20100930,1054.259519
108105,20100205,20100930,1054.30427
108105,20100205,20101218,1050.957791
108105,20100205,20101231,1050.404858
108105,20100205,20101231,1050.441231
108105,20100205,20110618,1045.642255
108105,20100205,20111217,1043.878123
108105,20100205,20121222,1050.255881
108105,20100208,20100212,1056.519397
108105,20100208,20100220,1056.189718
108105,20100208,20100320,1054.688983
108105,20100208,20100331,1054.055241
108105,20100208,20100417,1053.220633
108105,20100208,20100522,1051.430061
108105,20100208,20100619,1050.031922
108105,20100208,20100630,1049.398009
108105,20100208,20100630,1049.446499
108105,20100208,20100918,1045.768226
108105,20100208,20100930,1045.156952
108105,20100208,20100930,1045.200273
108105,20100208,20101218,1041.981708
108105,20100208,20101231,1041.449967
108105,20100208,20101231,1041.484907
108105,20100208,20110618,1036.920818
108105,20100208,20111217,1035.35471
108105,20100208,20121222,1042.066774
108105,20100209,20100212,1070.352581
108105,20100209,20100220,1070.018548
108105,20100209,20100320,1068.497868
108105,20100209,20100331,1067.855144
108105,20100209,20100417,1067.008131
